energy_code,country_code,year,electricity_ktoe,country,energy_source
RA420,EE,1995,0.0,Estonia,Solar thermal
RA420,EL,1995,0.0,Greece,Solar thermal
RA420,ES,1995,1.72,Spain,Solar thermal
RA420,EU27_2020,1995,3.953,EU27 (total of EU),Solar thermal
RA420,FI,1995,0.072,Finland,Solar thermal
RA420,FR,1995,0.065,France,Solar thermal
RA420,HR,1995,0.0,Croatia,Solar thermal
RA420,HU,1995,0.0,Hungary,Solar thermal
RA420,IE,1995,0.0,Ireland,Solar thermal
RA420,IT,1995,1.118,Italy,Solar thermal
RA420,LT,1995,0.0,Lithuania,Solar thermal
RA420,LU,1995,0.0,Luxembourg,Solar thermal
RA420,LV,1995,0.0,Latvia,Solar thermal
RA420,MT,1995,0.0,Malta,Solar thermal
RA420,NL,1995,0.131,Netherlands,Solar thermal
RA420,NO,1995,0.0,Norway,Solar thermal
RA420,PL,1995,0.0,Poland,Solar thermal
RA420,PT,1995,0.086,Portugal,Solar thermal
RA420,RO,1995,0.0,Romania,Solar thermal
RA420,SE,1995,0.07,Sweden,Solar thermal
RA420,SI,1995,0.0,Slovenia,Solar thermal
RA420,SK,1995,0.0,Slovakia,Solar thermal
RA500,AT,1995,0.0,Austria,Other renewables
RA500,BE,1995,0.0,Belgium,Other renewables
RA500,BG,1995,0.0,Bulgaria,Other renewables
RA500,CY,1995,0.0,Cyprus,Other renewables
RA500,CZ,1995,0.0,Czechia,Other renewables
RA500,DE,1995,0.0,Germany,Other renewables
RA500,DK,1995,0.0,Denmark,Other renewables
RA500,EE,1995,0.0,Estonia,Other renewables
RA500,EL,1995,0.0,Greece,Other renewables
RA500,ES,1995,0.0,Spain,Other renewables
RA500,EU27_2020,1995,43.63,EU27 (total of EU),Other renewables
RA500,FI,1995,0.0,Finland,Other renewables
RA500,FR,1995,43.63,France,Other renewables
RA500,HR,1995,0.0,Croatia,Other renewables
RA500,HU,1995,0.0,Hungary,Other renewables
RA500,IE,1995,0.0,Ireland,Other renewables
RA500,IT,1995,0.0,Italy,Other renewables
RA500,LT,1995,0.0,Lithuania,Other renewables
RA500,LU,1995,0.0,Luxembourg,Other renewables
RA500,LV,1995,0.0,Latvia,Other renewables
RA500,MT,1995,0.0,Malta,Other renewables
RA500,NL,1995,0.0,Netherlands,Other renewables
RA500,NO,1995,0.0,Norway,Other renewables
RA500,PL,1995,0.0,Poland,Other renewables
RA500,PT,1995,0.0,Portugal,Other renewables
RA500,RO,1995,0.0,Romania,Other renewables
RA500,SE,1995,0.0,Sweden,Other renewables
RA500,SI,1995,0.0,Slovenia,Other renewables
RA500,SK,1995,0.0,Slovakia,Other renewables
TOTAL,AT,1995,4834.516,Austria,All energy sources
TOTAL,BE,1995,6397.936,Belgium,All energy sources
TOTAL,BG,1995,3593.207,Bulgaria,All energy sources
TOTAL,CY,1995,214.703,Cyprus,All energy sources
TOTAL,CZ,1995,5231.9,Czechia,All energy sources
TOTAL,DE,1995,46198.108,Germany,All energy sources
TOTAL,DK,1995,3160.743,Denmark,All energy sources
TOTAL,EE,1995,747.463,Estonia,All energy sources
TOTAL,EL,1995,3572.829,Greece,All energy sources
TOTAL,ES,1995,14367.154,Spain,All energy sources
TOTAL,EU27_2020,1995,207167.726,EU27 (total of EU),All energy sources
TOTAL,FI,1995,5506.005,Finland,All energy sources
TOTAL,FR,1995,42499.91,France,All energy sources
TOTAL,HR,1995,797.575,Croatia,All energy sources
TOTAL,HU,1995,2925.055,Hungary,All energy sources
TOTAL,IE,1995,1535.62,Ireland,All energy sources
TOTAL,IT,1995,20764.316,Italy,All energy sources
TOTAL,LT,1995,1195.099,Lithuania,All energy sources
TOTAL,LU,1995,105.761,Luxembourg,All energy sources
TOTAL,LV,1995,342.149,Latvia,All energy sources
TOTAL,MT,1995,140.327,Malta,All energy sources
TOTAL,NL,1995,6978.18,Netherlands,All energy sources
TOTAL,NO,1995,10593.207,Norway,All energy sources
TOTAL,PL,1995,11952.365,Poland,All energy sources
TOTAL,PT,1995,2860.275,Portugal,All energy sources
TOTAL,RO,1995,5078.16,Romania,All energy sources
TOTAL,SE,1995,12755.874,Sweden,All energy sources
TOTAL,SI,1995,1110.318,Slovenia,All energy sources
TOTAL,SK,1995,2302.178,Slovakia,All energy sources
BIOE,AT,1996,134.853,Austria,Bioenergy
BIOE,BE,1996,26.999,Belgium,Bioenergy
BIOE,BG,1996,0.0,Bulgaria,Bioenergy
BIOE,CY,1996,0.0,Cyprus,Bioenergy
BIOE,CZ,1996,25.107,Czechia,Bioenergy
BIOE,DE,1996,215.305,Germany,Bioenergy
BIOE,DK,1996,71.621,Denmark,Bioenergy
BIOE,EE,1996,0.43,Estonia,Bioenergy
BIOE,EL,1996,0.0,Greece,Bioenergy
BIOE,ES,1996,93.121,Spain,Bioenergy
BIOE,FI,1996,506.363,Finland,Bioenergy
BIOE,FR,1996,166.122,France,Bioenergy
BIOE,HR,1996,0.774,Croatia,Bioenergy
BIOE,HU,1996,4.294,Hungary,Bioenergy
BIOE,IE,1996,2.322,Ireland,Bioenergy
BIOE,IT,1996,32.416,Italy,Bioenergy
BIOE,LT,1996,0.0,Lithuania,Bioenergy
BIOE,LU,1996,1.328,Luxembourg,Bioenergy
BIOE,LV,1996,0.0,Latvia,Bioenergy
BIOE,MT,1996,0.0,Malta,Bioenergy
BIOE,NL,1996,112.517,Netherlands,Bioenergy
BIOE,NO,1996,26.053,Norway,Bioenergy
BIOE,PL,1996,11.436,Poland,Bioenergy
BIOE,PT,1996,82.545,Portugal,Bioenergy
BIOE,RO,1996,0.0,Romania,Bioenergy
BIOE,SE,1996,182.115,Sweden,Bioenergy
BIOE,SI,1996,0.0,Slovenia,Bioenergy
BIOE,SK,1996,0.0,Slovakia,Bioenergy
C0000X0350-0370,AT,1996,453.826,Austria,Other / combined category
C0000X0350-0370,BE,1996,1337.145,Belgium,Other / combined category
C0000X0350-0370,BG,1996,1476.096,Bulgaria,Other / combined category
C0000X0350-0370,CY,1996,0.0,Cyprus,Other / combined category
C0000X0350-0370,CZ,1996,3906.191,Czechia,Other / combined category
C0000X0350-0370,DE,1996,25450.731,Germany,Other / combined category
C0000X0350-0370,DK,1996,3410.576,Denmark,Other / combined category
C0000X0350-0370,EE,1996,0.0,Estonia,Other / combined category
C0000X0350-0370,EL,1996,2519.175,Greece,Other / combined category
C0000X0350-0370,ES,1996,4638.263,Spain,Other / combined category
C0000X0350-0370,EU27_2020,1996,68155.33,EU27 (total of EU),Other / combined category
C0000X0350-0370,FI,1996,1299.828,Finland,Other / combined category
C0000X0350-0370,FR,1996,2410.834,France,Other / combined category
C0000X0350-0370,HR,1996,10.705,Croatia,Other / combined category
C0000X0350-0370,HU,1996,825.967,Hungary,Other / combined category
C0000X0350-0370,IE,1996,601.204,Ireland,Other / combined category
C0000X0350-0370,IT,1996,1898.538,Italy,Other / combined category
C0000X0350-0370,LT,1996,0.0,Lithuania,Other / combined category
