freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,GEP,C0000X0350-0370,KTOE,ES	5667.498 	4638.263 	5388.564 	5295.357 	6329.235 	6800.860 	6042.132 	6980.396 	6424.936 	6801.892 	6797.334 	5738.521 	6259.243 	4188.650 	3087.704 	2178.332 	3781.599 	4735.512 	3434.308 	3766.724 	4416.681 	3132.760 	3880.224 	3210.748 	1105.675 	474.807 	417.713 	675.838 	311.522 	221.971 
A,GEP,C0000X0350-0370,KTOE,EU27_2020	66715.909 	68155.330 	65761.651 	66508.600 	65242.219 	68816.854 	68177.644 	70021.840 	73013.243 	71846.174 	69551.349 	70206.283 	71264.437 	65094.846 	60496.545 	60294.939 	62323.887 	63861.966 	62676.717 	59567.400 	60621.585 	56676.671 	54938.815 	51213.671 	38771.435 	30302.406 	36043.241 	38568.840 	27402.528 	23302.893 
A,GEP,C0000X0350-0370,KTOE,FI	952.193 	1299.828 	1104.385 	682.717 	769.304 	729.751 	912.640 	1092.519 	1655.030 	1418.487 	558.641 	1404.213 	1200.000 	731.900 	957.008 	1250.473 	840.929 	610.576 	919.175 	681.427 	440.327 	599.656 	503.611 	497.936 	374.807 	210.060 	229.837 	295.959 	134.308 	71.367 
A,GEP,C0000X0350-0370,KTOE,FR	2079.020 	2410.834 	1906.965 	2883.233 	2517.541 	2321.926 	1760.791 	2034.222 	2257.954 	2095.615 	2365.864 	1968.100 	2101.978 	1983.061 	1863.027 	2008.512 	1495.656 	1844.925 	2050.161 	967.941 	1022.739 	879.255 	1101.757 	714.488 	312.752 	265.379 	467.998 	357.984 	138.474 	87.753 
A,GEP,C0000X0350-0370,KTOE,HR	20.808 	10.705 	43.938 	46.260 	44.368 	133.362 	140.843 	181.341 	206.707 	183.921 	200.172 	194.067 	208.340 	214.531 	142.562 	205.073 	222.012 	192.433 	208.169 	203.611 	198.624 	223.216 	117.549 	124.901 	140.963 	104.506 	125.271 	134.041 	113.947 	68.899 
A,GEP,C0000X0350-0370,KTOE,HU	780.739 	825.967 	807.051 	821.754 	875.494 	824.592 	760.017 	772.399 	788.478 	703.181 	603.869 	602.064 	633.964 	609.286 	545.142 	536.028 	557.438 	545.486 	541.702 	515.477 	497.850 	484.265 	424.076 	401.462 	347.034 	319.089 	259.157 	257.438 	214.359 	210.146 
A,GEP,C0000X0350-0370,KTOE,IE	603.439 	601.204 	583.577 	579.536 	501.462 	586.156 	607.223 	586.500 	533.362 	535.598 	549.355 	505.933 	467.494 	442.121 	344.309 	305.651 	339.189 	432.017 	368.234 	340.192 	419.104 	403.771 	313.374 	185.016 	43.476 	57.879 	233.665 	203.464 	104.107 	54.395 
A,GEP,C0000X0350-0370,KTOE,IT	2074.119 	1898.538 	1764.230 	2004.385 	2047.463 	2258.985 	2728.289 	3047.893 	3337.317 	3913.844 	3749.441 	3801.204 	3792.949 	3703.611 	3417.455 	3416.509 	3845.744 	4225.365 	3878.332 	3736.371 	3714.617 	3061.651 	2805.454 	2447.968 	1619.901 	1150.429 	1205.668 	1943.822 	1136.706 	339.504 
A,GEP,C0000X0350-0370,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.086 	0.172 	0.172 	0.172 	0.172 	0.172 	0.086 	0.000 	0.000 	0.000 	0.018 	0.029 	0.006 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,MT	7.739 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,NL	2355.890 	2219.862 	2101.290 	2272.829 	1885.125 	2087.360 	2190.972 	2234.910 	2284.695 	2145.056 	2020.636 	2041.015 	2142.476 	2019.175 	2087.532 	1942.218 	1839.209 	2081.857 	2116.423 	2535.254 	3386.981 	3165.669 	2698.107 	2371.263 	1521.378 	654.966 	1255.361 	1272.760 	749.076 	642.047 
